Rainintensity,Relative_humidity,Precipitable_water,temperature
1.429999948,35.48001099,43.30000305,289.5100098
0.75999999,37.95999146,41.5,290.7000122
0.189999998,20.22000122,42.58000183,297.4100037
0.560000002,17.51000977,42.6000061,303.0899963
0.50999999,19.79000854,50.52999878,305.5
2.890000105,33.63000488,54.3500061,308.2799988
11.14000034,77.22000122,56.92999268,302.1099854
7.840000153,65.31999207,50.52999878,301.5100098
3.319999933,50.6000061,49,301.3200073
2.309999943,48.69000244,56.72000122,291.4400024
1.850000024,43.8500061,48.38000488,292.4700012
0.389999986,40.04000854,50.44000244,289.2600098
0.550000012,30.23999023,47.56999207,289.1300049
0.400000006,21.41000366,42.31999207,293
1.110000014,25.92999268,42.16000366,297.7200012
0.02,16.73001099,43.1000061,305.0100098
0.589999974,16.86999512,46.36000061,308.9599915
9.859999657,67.41000366,54.81999207,303.1400146
12.02000046,88.00999451,52.05000305,300.4199829
10.02000046,87.55999756,56.16000366,300.5200195
2.470000029,78.17999268,55.52999878,299.1099854
0.629999995,59.27999878,50.44000244,296.1699829
0,44.95999146,49.50999451,291.3399963
0.370000005,46.44000244,53.52000427,289.2299805
0.860000014,53.86999512,52.86000061,288.1699829
0.460000008,35.14001465,47.53999329,291.4799805
1.159999967,39.57000732,39.91999817,296.1900024
0.300000012,28.92999268,45.30999756,301.3599854
0.850000024,38.83999634,46.78999329,305.3099976
1.350000024,46.11999512,53.52999878,305.4700012
13.68999958,84.78999329,52.71000671,300.8399963
5.739999771,80.45999146,53.52000427,300.8900146
5.679999828,70.41999817,50.41999817,300.1600037
0.119999997,42.72000122,47.77999878,296.1199951
0.059999999,45.3500061,53.91000366,292.2600098
0.230000004,36.98999023,50.1499939,289.2200012
1.480000019,50.27999878,44.25999451,289.9500122
1.350000024,47.38999939,48.19000244,290.1099854
1.850000024,42.39001465,41.02000427,294.5599976
1.139999986,29.67001343,41.44000244,301.1300049
0.300000012,29.19000244,41.67999268,304.75
1.49000001,44.61999512,55.41000366,305.789978
6.210000038,67.88999939,49.80000305,303.6799927
12.21000004,85.28999329,53.8999939,301.1900024
5.5,70.16999817,52.13999939,299.5299988
1.789999962,47.3999939,42.58999634,297.5499878
0.610000014,47.83999634,44.66999817,292.5999756
0.02,40.47000122,47.61000061,289.2399902
0.02,38.51998901,45.1000061,287.8599854
0.469999999,40.57000732,38.78999329,287.8099976
0.02,27.26000977,38.69000244,295.3200073
0.779999971,30.94000244,40.86999512,300.6799927
0.839999974,31.3500061,48.38999939,304.2799988
3.819999933,39.95001221,53.55999756,306.3900146
6.96999979,75.33999634,53.8500061,302.4500122
6.480000019,82.47000122,54.88999939,300.9799805
7.489999771,84.03999329,52.00999451,299.6400146
2.230000019,71.56999207,53.47000122,288.3999939
0,52.27000427,55.1499939,289.8599854
0.449999988,49.61000061,50.52000427,287.7000122
2.039999962,48.28999329,48.02000427,287.2099915
0.660000026,47.36999512,50.46000671,289.6799927
0.01,30.6000061,42.88999939,295.3099976
1.360000014,29.63000488,49.11000061,299.2399902
0.5,21.94000244,47.66000366,306.3099976
10.39999962,57.22999573,52.83000183,304.6600037
9.859999657,84.11999512,50.66000366,300.6799927
10.51000023,87.08999634,57.55000305,300.0299988
4.150000095,80.41999817,51.83000183,297.9400024
1.570000052,51.52999878,52.5,294.5700073
0,47.77000427,45.63000488,289.1799927
0,38.58999634,50.63000488,289.0200195
0.930000007,48.53999329,44.22000122,287.8300171
0.170000002,30.5,47.75,290.0299988
0,28.35998535,44.75999451,294.2200012
0.140000001,29.29000854,47.86999512,301.2000122
0.589999974,18.82000732,52.33000183,307.0100098
4.010000229,41.02999878,52.16000366,307.0100098
12.93999958,80.06999207,50.67999268,301
10.32999992,80.41999817,52.83999634,301.2700195
6.150000095,78.58999634,52.69000244,299.6300049
4.510000229,65.77000427,49.75999451,295.0100098
0,47.67999268,47.58000183,290.3300171
0.01,47.75,51.56999207,289.9500122
0.150000006,41.3500061,51.05000305,288.6600037
1.669999957,45.30999756,42.80999756,289.289978
0.300000012,31.61999512,46.27000427,295.0100098
0.75,23.42999268,47.77000427,302.0499878
0.99000001,24.98001099,50.3999939,304.9100037
5.150000095,49.3999939,53.3999939,305.2099915
10.60999966,80.45999146,49.96000671,301.1300049
8.81000042,75.52000427,57.41999817,301.0200195
3.839999914,64.44000244,53.02999878,300.5299988
1.00999999,59.63999939,52.8999939,295.3999939
0.550000012,40.23999023,51.8500061,291.7200012
2.150000095,56.17999268,46.25,289.3999939
0.25,42.32998657,45.52000427,289.5100098
0.620000005,36.23001099,42.41999817,292.3499756
0.319999993,37.54998779,40.38000488,295.2399902
0.209999993,27.5,39.63999939,301.6499939
0.829999983,29.51000977,44.27999878,304.8200073
2.390000105,28.82998657,56.08999634,308.3499756
9.409999847,69.80000305,55.58999634,303.0700073
11.36999989,75.80000305,49.99000549,302.3200073
15.35999966,75.77000427,52.22000122,300.1400146
1.24000001,54.17999268,48.08000183,294.789978
1.090000033,45.45999146,52.83999634,291.2700195
0.129999995,41.08999634,52.77999878,289.25
0.150000006,35.32998657,48.03999329,289.1099854
0.819999993,29.63000488,47.96000671,292.6600037
1.190000057,32.86999512,48.1499939,295.3699951
0.790000021,22.14001465,46.36999512,301.7099915
0.720000029,20.76998901,53.8999939,306.9700012
9.050000191,47.63000488,54.22000122,305.3599854
8.329999924,78.45999146,54.31999207,301.4299927
7.320000172,82.36999512,55.27000427,300.8099976
4.789999962,69.75999451,52.99000549,301.6199951
0.730000019,44.80999756,55.25999451,295.6600037
0,39.3500061,55.91999817,291.3499756
0.100000001,34.8500061,48.91000366,289.8900146
0.039999999,37.16000366,49.44000244,287.8999939
0,26.51998901,48.16999817,291.4500122
0.180000007,33.57000732,49.3500061,295.3300171
0.01,17.16000366,41.00999451,300.6400146
1.24000001,19.57000732,46.94000244,305.6699829
6.860000134,51,50.3500061,305.2000122
8.569999695,77.06999207,49.1000061,301.75
8.390000343,83.70999146,54.75,300.4400024
5.099999905,74.74000549,49.36999512,300.5999756
1.330000043,42.79000854,52.99000549,296.3999939
0.319999993,33.80999756,49.28999329,292.7299805
0.379999995,39.70999146,45.11000061,289.2600098
0,28.1499939,45.91999817,291.75
1.580000043,41.41000366,40.56999207,291.8800049
0.419999987,30.44000244,43.41000366,294.6199951
0.340000004,18.26000977,47.28999329,302.3999939
2.089999914,38.94000244,50.86999512,305.1400146
11.02000046,51.8500061,55.31999207,305.7999878
16.53000069,85.75999451,53.1499939,300.6099854
7.449999809,80.8500061,53.52000427,300.5
7.190000057,85.27000427,50.08999634,299.5
2.50999999,54.88999939,50.00999451,296.1900024
0.159999996,38.1000061,50.27999878,293.2000122
0.029999999,39.1000061,45.77000427,289.1099854
1.480000019,37.82000732,48.75999451,287.9899902
0.519999981,28.92001343,47.78999329,293.75
1,32.10998535,37.88999939,295.7399902
0.189999998,17.63000488,46.56999207,301.8999939
0,15.48001099,46.13000488,307.8699951
6.099999905,53.47000122,51.75,305.7000122
7.449999809,70.21000671,51.1000061,303.6699829
15.17000008,85.83999634,52.8500061,300.7299805
5.949999809,71.81999207,53.55999756,299.2399902
0.670000017,35.95001221,47.30999756,296.3200073
0.310000002,32.17999268,50.97999573,292.0200195
1.090000033,45.27999878,48.19999695,290.039978
0.02,34.35998535,45.61999512,288.9700012
0.25999999,29.36999512,41.06999207,290.0599976
0.150000006,25.1000061,38.1000061,297.5599976
0.469999999,19.27999878,42.1000061,302.9400024
0.889999986,19.82000732,44.55000305,306.039978
3.019999981,34.32998657,53.92999268,307.3999939
6.179999828,67.22000122,50.24000549,302.7299805
6.670000076,79.41999817,53.63999939,301.0599976
4.099999905,66.78999329,50.61999512,299.7700195
0.540000021,45.23001099,52.30999756,297.039978
0.170000002,39.54000854,47.58000183,293.4199829
0,39.85998535,48.17999268,288
0.01,36.19000244,45.72999573,289.6400146
0.140000001,30.26998901,43.86000061,293.3800049
0.50999999,27.79000854,43.03999329,295.75
0.430000007,17.33999634,42.97000122,302.2999878
0.949999988,22,46.86999512,307.039978
4.039999962,43.04998779,49.72000122,306.7200012
8.119999886,72.3500061,53.72000122,302.3999939
6.46999979,77.05000305,51.75,301.6799927
10.84000015,85.69000244,51.83000183,298.6900024
1.899999976,40.83999634,50.55999756,296.4400024
0.519999981,40.76998901,49.24000549,292.1600037
0,33.3500061,52.06999207,289.0899963
0.920000017,37.16000366,44.41000366,290.2299805
0.50999999,33.98001099,42.42999268,290.6699829
0,18.73999023,48.3999939,297.5599976
0.720000029,17.66000366,44.69000244,302.1400146
0.460000008,21.48001099,50.69999695,307.6499939
